label,tags,type,Title,Document Type,URL,Description,Repo URL,Maturity,Spec Last Reviewed Date
JWA,IETF,non-core,JSON Web Algorithms,IETF RFC,https://tools.ietf.org/html/rfc7518,,,Proposed Standard,
bbs-signatures-spec,MATTR,core,BBS+ Signature Scheme,Internet Informational Draft,https://mattrglobal.github.io/bbs-signatures-spec,,https://mattrglobal.github.io/bbs-signatures-spec,Draft,3/11/2021
rdf-dataset-normalization,,non-core,RDF Dataset Normalization,W3C Draft Group Community Report,https://json-ld.github.io/normalization/spec,,,Community Group,
ldp-bbs2020,W3C,core,BBS+ Signatures 2020,W3C Draftt Community Group Report,https://w3c-ccg.github.io/ldp-bbs2020,,https://github.com/w3c-ccg/ldp-bbs2020/,Community Group,3/11/2021
ld-proofs,W3C,core,Linked Data Proofs,W3C Draft Community Group Report,https://w3c-ccg.github.io/ld-proofs,,https://github.com/w3c-ccg/ld-proofs/,Community Group,3/11/2021
ld-cryptosuite-registry,W3C,core,Linked Data Cryptographic Suite Registry,W3C Draft Community Group Report,https://w3c-ccg.github.io/ld-cryptosuite-registry,,https://github.com/w3c-ccg/ld-cryptosuite-registry/,Community Group,3/11/2021
OIDC,OpenId,non-core,Welcome to OpenID Connect,Other,https://openid.net/connect/,,,Working Group,
JWS-unencoded-payload,IETF,non-core,JSON Web Signature (JWS) Unencoded Payload Option,IETF RFC,https://tools.ietf.org/html/rfc7797,,,Proposed Standard,
well-known-did-1-of-a,aggregate,intermediate,1 of a,,,,,,1/8/2021
did-spec-registries-1-of-a,aggregate,intermediate,Signature Implementations 1 of many,,,,,,1/12/2021
did-spec-registries-1-of-b,aggregate,intermediate,did-method 1 of many,,,,,,1/12/2021
jwk-thumbprint,IETF,non-core,JSON Web Key (JWK) Thumbprint,IETF RFC,https://tools.ietf.org/html/rfc7638,,,Proposed Standard,3/18/2021
